SELL_ID,SELL_CATEGORY,ITEM_NAME,CALENDAR_DATE,PRICE,QUANTITY,YEAR,HOLIDAY,IS_WEEKEND,IS_SCHOOLBREAK,AVERAGE_TEMPERATURE,IS_OUTDOOR
1070,0,BURGER,1/13/12,15.5,100,2012,No Holiday,0,0,26.6,0
1070,0,BURGER,1/13/13,15.5,70,2013,No Holiday,1,0,30.2,0
1070,0,BURGER,1/13/14,15.5,104,2014,No Holiday,0,0,28.4,0
1070,0,BURGER,1/13/15,14.0,116,2015,No Holiday,0,0,28.4,0
1070,0,BURGER,1/14/12,15.5,74,2012,No Holiday,1,0,23.0,0
1070,0,BURGER,1/14/13,15.5,100,2013,No Holiday,0,1,30.2,0
1070,0,BURGER,1/14/14,15.5,86,2014,No Holiday,0,0,28.4,1
1070,0,BURGER,1/14/15,14.0,122,2015,No Holiday,0,0,30.2,0
1070,0,BURGER,1/15/12,15.5,60,2012,No Holiday,1,0,32.0,1
1070,0,BURGER,1/15/13,15.5,100,2013,No Holiday,0,1,30.2,0
1070,0,BURGER,1/15/14,15.5,104,2014,No Holiday,0,0,26.6,0
1070,0,BURGER,1/15/15,14.0,104,2015,No Holiday,0,0,32.0,1
1070,0,BURGER,1/16/12,15.5,104,2012,No Holiday,0,0,23.0,0
1070,0,BURGER,1/16/13,15.5,84,2013,No Holiday,0,1,30.2,1
1070,0,BURGER,1/16/14,15.5,100,2014,No Holiday,0,0,24.8,0
1070,0,BURGER,1/16/15,14.0,100,2015,No Holiday,0,0,32.0,1
1070,0,BURGER,1/17/12,15.5,106,2012,No Holiday,0,0,23.0,0
1070,0,BURGER,1/17/13,15.5,82,2013,No Holiday,0,1,30.2,1
1070,0,BURGER,1/17/14,15.5,106,2014,No Holiday,0,0,26.6,0
1070,0,BURGER,1/17/15,14.0,78,2015,No Holiday,1,0,30.2,0
1070,0,BURGER,1/18/12,15.5,108,2012,No Holiday,0,0,23.0,0
1070,0,BURGER,1/18/13,15.5,84,2013,No Holiday,0,1,32.0,1
1070,0,BURGER,1/18/14,15.5,70,2014,No Holiday,1,0,28.4,0
1070,0,BURGER,1/18/15,14.0,68,2015,No Holiday,1,0,33.8,1
1070,0,BURGER,1/19/12,15.5,100,2012,No Holiday,0,0,24.8,0
1070,0,BURGER,1/19/13,15.5,58,2013,No Holiday,1,1,28.4,1
1070,0,BURGER,1/19/14,15.5,56,2014,No Holiday,1,0,30.2,1
1070,0,BURGER,1/19/15,14.0,100,2015,No Holiday,0,1,33.8,1
1070,0,BURGER,1/20/12,15.5,100,2012,No Holiday,0,0,26.6,0
1070,0,BURGER,1/20/13,15.5,70,2013,No Holiday,1,1,23.0,0
1070,0,BURGER,1/20/14,15.5,104,2014,No Holiday,0,0,24.8,0
1070,0,BURGER,1/20/15,14.0,100,2015,No Holiday,0,1,30.2,1
1070,0,BURGER,1/21/12,15.5,70,2012,No Holiday,1,0,26.6,0
1070,0,BURGER,1/21/13,15.5,100,2013,No Holiday,0,1,19.4,0
1070,0,BURGER,1/21/14,15.5,104,2014,No Holiday,0,0,28.4,0
1070,0,BURGER,1/21/15,14.0,118,2015,No Holiday,0,1,32.0,0
1070,0,BURGER,1/22/12,15.5,74,2012,No Holiday,1,0,24.8,0
1070,0,BURGER,1/22/13,15.5,74,2013,Luner New Year,0,1,17.6,0
1070,0,BURGER,1/22/14,15.5,108,2014,No Holiday,0,0,28.4,0
1070,0,BURGER,1/22/15,14.0,100,2015,No Holiday,0,1,32.0,1
1070,0,BURGER,1/23/12,15.5,108,2012,No Holiday,0,0,23.0,0
1070,0,BURGER,1/23/13,15.5,68,2013,Luner New Year,0,1,21.2,0
1070,0,BURGER,1/23/14,15.5,106,2014,No Holiday,0,0,28.4,0
1070,0,BURGER,1/23/15,14.0,96,2015,No Holiday,0,1,32.0,1
1070,0,BURGER,1/24/12,15.5,100,2012,No Holiday,0,0,24.8,0
1070,0,BURGER,1/24/13,15.5,74,2013,Luner New Year,0,1,23.0,0
1070,0,BURGER,1/24/14,15.5,104,2014,No Holiday,0,0,26.6,0
1070,0,BURGER,1/24/15,14.0,70,2015,No Holiday,1,1,35.6,1
1070,0,BURGER,1/25/12,15.5,100,2012,No Holiday,0,0,23.0,0
1070,0,BURGER,1/25/13,15.5,68,2013,Luner New Year,0,1,23.0,0
1070,0,BURGER,1/25/14,15.5,74,2014,No Holiday,1,1,24.8,0
1070,0,BURGER,1/25/15,14.0,70,2015,No Holiday,1,1,33.8,1
1070,0,BURGER,1/26/12,15.5,106,2012,No Holiday,0,0,24.8,0
1070,0,BURGER,1/26/13,15.5,54,2013,Luner New Year,1,1,26.6,0
1070,0,BURGER,1/26/14,15.5,70,2014,No Holiday,1,1,26.6,0
1070,0,BURGER,1/26/15,14.0,104,2015,No Holiday,0,1,32.0,1
1070,0,BURGER,1/27/12,15.5,86,2012,No Holiday,0,0,32.0,1
1070,0,BURGER,1/27/13,15.5,46,2013,Luner New Year,1,1,26.6,0
1070,0,BURGER,1/27/14,15.5,108,2014,No Holiday,0,1,28.4,0
1070,0,BURGER,1/27/15,14.0,96,2015,No Holiday,0,1,35.6,1
1070,0,BURGER,1/28/12,15.5,62,2012,No Holiday,1,0,32.0,1
1070,0,BURGER,1/28/13,15.5,68,2013,Luner New Year,0,1,23.0,0
1070,0,BURGER,1/28/14,15.5,86,2014,No Holiday,0,1,32.0,1
1070,0,BURGER,1/28/15,14.0,96,2015,No Holiday,0,1,32.0,1
1070,0,BURGER,1/29/12,15.5,70,2012,No Holiday,1,0,23.0,0
1070,0,BURGER,1/29/13,15.5,108,2013,No Holiday,0,1,23.0,0
1070,0,BURGER,1/29/14,15.5,90,2014,No Holiday,0,1,32.0,1
1070,0,BURGER,1/29/15,14.0,96,2015,No Holiday,0,1,33.8,1
1070,0,BURGER,1/30/12,15.5,106,2012,No Holiday,0,0,28.4,0
1070,0,BURGER,1/30/13,15.5,104,2013,No Holiday,0,1,23.0,0
1070,0,BURGER,1/30/14,15.5,88,2014,No Holiday,0,1,30.2,1
1070,0,BURGER,1/30/15,14.0,96,2015,No Holiday,0,1,33.8,1
1070,0,BURGER,1/31/12,15.5,84,2012,No Holiday,0,0,32.0,1
1070,0,BURGER,1/31/13,15.5,108,2013,No Holiday,0,1,23.0,0
1070,0,BURGER,1/31/14,15.5,84,2014,No Holiday,0,1,30.2,1
1070,0,BURGER,1/31/15,14.0,50,2015,Luner New Year,1,1,33.8,1
1070,0,BURGER,10/10/12,15.0,94,2012,No Holiday,0,0,62.6,1
1070,0,BURGER,10/10/13,14.0,96,2013,No Holiday,0,0,59.0,1
1070,0,BURGER,10/10/14,15.5,88,2014,No Holiday,0,0,60.8,1
1070,0,BURGER,10/11/12,15.0,92,2012,No Holiday,0,0,62.6,1
1070,0,BURGER,10/11/13,14.0,100,2013,No Holiday,0,0,60.8,1
1070,0,BURGER,10/11/14,15.5,60,2014,No Holiday,1,0,62.6,1
1070,0,BURGER,10/12/12,15.0,88,2012,No Holiday,0,0,62.6,1
1070,0,BURGER,10/12/13,14.0,64,2013,No Holiday,1,0,64.4,1
1070,0,BURGER,10/12/14,15.5,58,2014,No Holiday,1,0,64.4,1
1070,0,BURGER,10/13/12,15.0,64,2012,No Holiday,1,0,59.0,1
1070,0,BURGER,10/13/13,14.0,70,2013,No Holiday,1,0,55.4,1
1070,0,BURGER,10/13/14,15.5,88,2014,No Holiday,0,0,59.0,1
1070,0,BURGER,10/14/12,15.0,64,2012,No Holiday,1,0,57.2,1
1070,0,BURGER,10/14/13,14.0,104,2013,No Holiday,0,0,55.4,1
1070,0,BURGER,10/14/14,15.5,90,2014,No Holiday,0,0,48.2,1
1070,0,BURGER,10/15/12,15.0,86,2012,No Holiday,0,0,59.0,1
1070,0,BURGER,10/15/13,14.0,96,2013,No Holiday,0,0,55.4,1
1070,0,BURGER,10/15/14,15.5,84,2014,No Holiday,0,0,48.2,1
1070,0,BURGER,10/16/12,15.0,94,2012,No Holiday,0,0,57.2,1
1070,0,BURGER,10/16/13,14.0,98,2013,No Holiday,0,0,51.8,1
1070,0,BURGER,10/16/14,15.5,90,2014,No Holiday,0,0,53.6,1
1070,0,BURGER,10/17/12,15.0,94,2012,No Holiday,0,0,57.2,1
1070,0,BURGER,10/17/13,14.0,100,2013,No Holiday,0,0,51.8,1
1070,0,BURGER,10/17/14,15.5,86,2014,No Holiday,0,0,55.4,1
1070,0,BURGER,10/18/12,15.0,90,2012,No Holiday,0,0,59.0,1
1070,0,BURGER,10/18/13,14.0,96,2013,No Holiday,0,0,55.4,1
1070,0,BURGER,10/18/14,15.5,62,2014,No Holiday,1,0,55.4,1
1070,0,BURGER,10/19/12,15.0,90,2012,No Holiday,0,0,59.0,1
1070,0,BURGER,10/19/13,14.0,70,2013,No Holiday,1,0,57.2,1
1070,0,BURGER,10/19/14,15.5,62,2014,No Holiday,1,0,51.8,1
1070,0,BURGER,10/20/12,15.0,64,2012,No Holiday,1,0,60.8,1
1070,0,BURGER,10/20/13,14.0,68,2013,No Holiday,1,0,59.0,1
1070,0,BURGER,10/20/14,15.5,90,2014,No Holiday,0,0,55.4,1
1070,0,BURGER,10/21/12,15.0,64,2012,No Holiday,1,0,57.2,1
1070,0,BURGER,10/21/13,14.0,100,2013,No Holiday,0,0,51.8,1
1070,0,BURGER,10/21/14,15.5,88,2014,No Holiday,0,0,53.6,1
1070,0,BURGER,10/22/12,15.0,90,2012,No Holiday,0,0,60.8,1
1070,0,BURGER,10/22/13,14.0,102,2013,No Holiday,0,0,50.0,1
1070,0,BURGER,10/22/14,15.5,86,2014,No Holiday,0,0,50.0,1
1070,0,BURGER,10/23/12,15.0,90,2012,No Holiday,0,0,50.0,1
1070,0,BURGER,10/23/13,14.0,100,2013,No Holiday,0,0,55.4,1
1070,0,BURGER,10/23/14,15.5,90,2014,No Holiday,0,0,48.2,1
1070,0,BURGER,10/24/12,15.0,88,2012,No Holiday,0,0,46.4,1
1070,0,BURGER,10/24/13,14.0,102,2013,No Holiday,0,0,57.2,1
1070,0,BURGER,10/24/14,15.5,86,2014,No Holiday,0,0,50.0,1
1070,0,BURGER,10/25/12,15.0,86,2012,No Holiday,0,0,50.0,1
1070,0,BURGER,10/25/13,14.0,98,2013,No Holiday,0,0,59.0,1
1070,0,BURGER,10/25/14,15.5,62,2014,No Holiday,1,0,51.8,1
1070,0,BURGER,10/26/12,15.0,92,2012,No Holiday,0,0,48.2,1
1070,0,BURGER,10/26/13,14.0,72,2013,No Holiday,1,0,57.2,1
1070,0,BURGER,10/26/14,15.5,64,2014,No Holiday,1,0,53.6,1
1070,0,BURGER,10/27/12,15.0,64,2012,No Holiday,1,0,50.0,1
1070,0,BURGER,10/27/13,14.0,66,2013,No Holiday,1,0,57.2,1
1070,0,BURGER,10/27/14,15.5,82,2014,No Holiday,0,0,53.6,1
1070,0,BURGER,10/28/12,15.0,62,2012,No Holiday,1,0,51.8,1
1070,0,BURGER,10/28/13,14.0,104,2013,No Holiday,0,0,53.6,1
1070,0,BURGER,10/28/14,15.5,90,2014,No Holiday,0,0,51.8,1
1070,0,BURGER,10/29/12,15.0,92,2012,No Holiday,0,0,53.6,1
1070,0,BURGER,10/29/13,14.0,102,2013,No Holiday,0,0,46.4,1
1070,0,BURGER,10/29/14,15.5,82,2014,No Holiday,0,0,48.2,1
1070,0,BURGER,10/30/12,15.0,86,2012,No Holiday,0,0,53.6,1
1070,0,BURGER,10/30/13,14.0,104,2013,No Holiday,0,0,44.6,1
1070,0,BURGER,10/30/14,15.5,82,2014,No Holiday,0,0,50.0,1
1070,0,BURGER,10/31/12,15.0,94,2012,No Holiday,0,0,53.6,1
1070,0,BURGER,10/31/13,14.0,98,2013,No Holiday,0,0,44.6,1
1070,0,BURGER,10/31/14,15.5,86,2014,No Holiday,0,0,48.2,1
1070,0,BURGER,11/10/12,15.0,60,2012,No Holiday,1,0,48.2,1
1070,0,BURGER,11/10/13,14.0,72,2013,No Holiday,1,0,35.6,1
1070,0,BURGER,11/10/14,15.5,86,2014,No Holiday,0,0,42.8,1
1070,0,BURGER,11/11/12,15.0,62,2012,No Holiday,1,0,50.0,1
1070,0,BURGER,11/11/13,14.0,102,2013,No Holiday,0,0,35.6,1
1070,0,BURGER,11/11/14,15.5,86,2014,No Holiday,0,0,44.6,1
1070,0,BURGER,11/12/12,15.0,90,2012,No Holiday,0,0,46.4,1
1070,0,BURGER,11/12/13,14.0,96,2013,No Holiday,0,0,37.4,1
1070,0,BURGER,11/12/14,15.5,84,2014,No Holiday,0,0,44.6,1
1070,0,BURGER,11/13/12,15.0,86,2012,No Holiday,0,0,42.8,1
1070,0,BURGER,11/13/13,14.0,98,2013,No Holiday,0,0,35.6,1
1070,0,BURGER,11/13/14,15.5,82,2014,No Holiday,0,0,46.4,1
